IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
1798 -120.029587 55.865417 960 -13361632.000000 6218910.000000 1965 12 0.227000 0.385000 0.464000 0.510000 0.538000 0.538000 0.538000 0.538000 0.566000 0.566000 0.623000
565 -97.028748 47.927917 12966 -10801191.000000 5335311.500000 1965 12 0.538000 0.555000 0.566000 0.566000 0.566000 0.595000 0.595000 0.600000 0.631000 0.691000 0.708000
31693 -122.093750 61.334583 636 -13591414.000000 6827734.500000 1966 1 1.560000 1.560000 1.560000 1.560000 1.560000 1.780000 2.179000 2.706000 3.824000 5.848000 7.760000
34038 -48.656250 -16.835417 29889 -5416389.000000 -1874110.000000 1966 1 0.207000 0.220000 0.234000 0.240000 0.279000 0.311000 0.311000 0.340000 0.368000 0.379000 0.481000
10755 -81.863747 28.616249 19759 -9113031.000000 3185546.250000 1966 3 35.112999 35.905998 42.702000 48.478001 56.917000 69.375999 81.496002 92.653000 110.435997 134.957993 273.256989
37432 151.715424 -31.515417 37664 16888884.000000 -3508280.250000 1966 3 32.000000 32.000000 32.000000 32.299999 32.299999 32.299999 32.599998 32.599998 32.599998 32.799999 32.799999
20451 -107.170418 40.733749 7956 -11930156.000000 4534460.000000 1966 4 221.119995 244.904999 257.244995 276.524994 294.420013 340.325012 362.565002 395.834991 410.279999 418.214996 425.890015
40358 119.482918 -33.132084 35283 13300778.000000 -3688246.750000 1966 4 6.343000 6.739000 6.952000 7.235000 7.943000 8.084000 8.155000 8.240000 8.552000 9.486000 10.392000
12786 -86.391251 37.693748 15554 -9617030.000000 4196049.000000 1966 6 43.900002 46.450001 48.099998 52.099998 55.099998 69.099998 72.650002 76.050003 80.750000 86.349998 93.400002
38617 141.832916 -37.707916 39686 15788768.000000 -4197626.000000 1966 6 0.017000 0.025000 0.042000 0.062000 0.089000 0.108000 0.122000 0.136000 0.167000 0.184000 0.249000
24908 -120.085419 44.332085 3400 -13367848.000000 4935025.000000 1966 7 80.000000 80.000000 80.000000 80.000000 80.000000 80.000000 80.000000 80.000000 80.000000 81.000000 81.000000
38506 143.845413 -37.611252 39603 16012798.000000 -4186865.500000 1966 7 0.708000 0.827000 1.068000 1.608000 1.838000 2.180000 2.690000 3.188000 4.134000 8.348000 20.048000
5895 28.351250 -25.662916 33821 3156046.750000 -2856782.750000 1966 7 300.000000 321.399994 339.000000 361.000000 394.700012 409.000000 420.500000 452.200012 483.299988 546.000000 689.000000
15005 -90.723747 42.816250 20395 -10099321.000000 4766283.000000 1966 8 0.006000 0.006000 0.007000 0.007000 0.007000 0.007000 0.007000 0.008000 0.046000 0.067000 0.081000
16047 -107.657913 45.644585 7476 -11984424.000000 5081132.000000 1966 8 0.003000 0.005000 0.006000 0.007000 0.008000 0.010000 0.013000 0.014000 0.017000 0.020000 0.038000
11038 -82.204582 27.112083 20129 -9150972.000000 3018103.250000 1966 9 24.000000 24.000000 25.200001 25.400000 26.100000 27.000000 27.400000 27.799999 28.150000 30.000000 31.700001
26135 -66.412918 18.293751 25495 -7393052.000000 2036451.000000 1966 9 1.840000 2.000000 2.055000 2.100000 2.110000 2.160000 2.285000 2.375000 2.615000 2.670000 3.310000
28360 -80.667915 48.762085 12838 -8979911.000000 5428170.500000 1966 9 1.550000 10.025000 37.700001 72.900002 113.000000 132.000000 132.000000 134.000000 140.000000 141.000000 221.000000
36205 -71.891251 -46.552082 26568 -8002897.500000 -5182154.000000 1966 9 0.105000 0.110000 0.113000 0.116000 0.116000 0.119000 0.120000 0.127000 0.142000 0.153000 0.368000
32406 -53.883751 -15.637917 28202 -5998311.500000 -1740804.875000 1966 10 0.368000 0.470000 0.538000 0.589000 0.759000 0.906000 1.113000 1.252000 1.368000 1.478000 1.869000
3830 7.392083 50.444584 31674 822882.937500 5615465.500000 1966 10 0.266000 0.268000 0.278000 0.283000 0.289000 0.289000 0.289000 0.289000 0.291000 0.302000 0.354000
25562 -146.529587 60.949585 134 -16311599.000000 6784877.000000 1966 11 14.900000 15.500000 16.200001 18.450001 20.250000 22.600000 27.049999 31.500000 34.799999 48.549999 118.000000
28304 -90.187080 52.580418 12416 -10039580.000000 5853225.500000 1966 12 8870.000000 9056.000000 9104.000000 9606.000000 9859.000000 10200.000000 10410.000000 10700.000000 10890.000000 11400.000000 11500.000000
17997 -99.716248 38.125416 15345 -11100362.000000 4244102.000000 1967 1 0.001000 0.036000 0.059000 0.077000 0.099000 0.161000 0.225000 0.784000 1.972000 11.389000 65.968002
25306 -123.121246 43.417915 3888 -13705794.000000 4833260.000000 1967 1 14.200000 14.660000 15.040000 15.280000 15.790000 16.400000 17.730000 18.459999 24.010000 26.500000 27.500000
