IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
37210 152.740417 -27.952084 37064 17002986.000000 -3111611.750000 1969 1 39.644001 42.249001 46.863998 57.143002 66.205002 72.490997 81.127998 93.332001 108.623001 143.509995 1274.255981
28108 -55.426250 46.901249 26918 -6170022.000000 5221023.000000 1969 3 0.074000 0.075000 0.078000 0.082000 0.085000 0.088000 0.116000 0.204000 0.462000 0.691000 1.416000
29949 -112.437080 59.117085 4166 -12516439.000000 6580883.500000 1969 6 0.000000 0.000000 0.003000 0.007000 0.013000 0.017000 0.024000 0.028000 0.033000 0.055000 0.068000
37031 152.939590 -26.562084 36853 17025158.000000 -2956877.750000 1969 7 3.228000 3.387000 3.531000 3.625000 3.961000 4.134000 4.256000 4.378000 4.687000 5.652000 6.145000
37068 145.947922 -41.139584 38535 16246848.000000 -4579637.500000 1969 7 58.616001 66.600998 74.785004 79.853996 97.947998 105.904999 110.605003 140.167999 156.449997 325.076996 588.989014
904 -97.476250 38.969582 14868 -10851006.000000 4338074.000000 1969 7 0.159000 0.173000 0.187000 0.215000 0.245000 0.261000 0.280000 0.327000 0.866000 1.038000 1.110000
20345 -109.851250 42.832916 11900 -12228585.000000 4768138.500000 1969 8 0.000000 0.000000 0.000000 0.000000 0.001000 0.001000 0.001000 0.001000 0.001000 0.001000 0.001000
11827 -87.697083 33.227085 18044 -9762395.000000 3698822.250000 1969 9 0.012000 0.012000 0.012000 0.013000 0.014000 0.015000 0.067000 0.075000 0.084000 0.110000 0.142000
8085 -71.628754 43.706249 24353 -7973676.500000 4865357.500000 1969 9 0.006000 0.007000 0.008000 0.008000 0.008000 0.008000 0.008000 0.009000 0.009000 0.010000 0.010000
34334 -50.027084 -20.176250 27925 -5568989.500000 -2246010.000000 1969 10 0.005000 0.010000 0.015000 0.019000 0.028000 0.037000 0.046000 0.120000 0.164000 0.442000 0.623000
3787 25.321251 53.632915 33179 2818748.750000 5970389.000000 1969 11 0.595000 0.623000 0.651000 0.680000 0.708000 0.736000 0.765000 0.779000 0.821000 0.821000 0.906000
40048 116.030418 -34.474583 35489 12916447.000000 -3837693.000000 1970 1 0.991000 1.133000 1.274000 1.416000 1.685000 1.841000 1.982000 2.010000 2.265000 2.418000 2.549000
14587 -97.453751 47.538750 13038 -10848502.000000 5291989.500000 1970 4 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.007000 0.032000 0.116000
37294 147.335419 -41.104584 38526 16401304.000000 -4575741.500000 1970 4 0.201000 0.215000 0.256000 0.311000 0.340000 0.368000 0.496000 0.765000 1.246000 2.195000 9.684000
8593 -73.513748 40.679585 22686 -8183513.000000 4528430.500000 1970 6 12.700000 14.100000 14.600000 15.250000 15.700000 17.000000 18.450001 20.250000 23.250000 25.400000 29.400000
27987 -67.802917 51.827915 21298 -7547786.000000 5769457.000000 1970 7 0.065000 0.077000 0.096000 0.113000 0.141000 0.153000 0.182000 0.222000 0.253000 0.283000 0.368000
40500 116.819580 -23.312916 35007 13004296.000000 -2595182.000000 1970 10 0.283000 0.311000 0.340000 0.362000 0.393000 0.425000 0.425000 0.425000 0.425000 1.065000 5.182000
9300 -75.943748 39.629581 23173 -8454019.000000 4411545.000000 1970 10 69.500000 73.360001 78.000000 82.559998 90.760002 98.599998 101.500000 108.599998 114.300003 122.800003 137.000000
18132 -96.060417 36.485416 16063 -10693397.000000 4061538.000000 1970 11 0.000000 0.002000 0.003000 0.003000 0.040000 0.067000 0.080000 0.117000 0.167000 0.409000 0.496000
20381 -110.578751 41.031250 7834 -12309570.000000 4567578.000000 1970 11 0.016000 0.021000 0.031000 0.043000 0.094000 0.366000 0.624000 0.933000 1.141000 1.312000 1.749000
19694 -106.647919 35.828751 10294 -11871992.000000 3988438.250000 1970 12 4.000000 4.600000 11.200000 32.799999 64.900002 65.000000 65.000000 65.199997 66.000000 67.400002 70.000000
39018 144.547089 -36.127083 38866 16090908.000000 -4021648.500000 1971 7 0.000000 0.000000 0.000000 0.001000 0.001000 0.001000 0.002000 0.004000 0.006000 0.008000 0.019000
13980 -84.119583 43.452915 19531 -9364149.000000 4837156.500000 1971 8 0.000000 0.000000 0.000000 0.000000 0.001000 0.001000 0.001000 0.001000 0.001000 0.001000 0.002000
2208 -93.217087 50.629581 12503 -10376879.000000 5636059.000000 1971 10 10.675000 10.675000 10.760000 10.760000 10.760000 10.760000 12.261000 13.043000 13.221000 13.450000 13.620000
22951 -121.506248 40.361252 2919 -13526014.000000 4492994.000000 1971 10 6.010000 6.296000 6.400000 6.894000 7.502000 8.110000 8.840000 10.180000 12.200000 19.100000 25.000000
24396 -112.567917 44.325417 9393 -12531003.000000 4934283.000000 1971 12 225.000000 225.000000 227.919998 233.201996 239.550995 247.138000 258.259003 267.671997 289.890991 321.128998 327.864990
30115 -126.352081 52.440418 1265 -14065449.000000 5837640.500000 1972 1 0.001000 0.001000 0.002000 0.002000 0.002000 0.002000 0.002000 0.003000 0.003000 0.005000 0.010000
9477 -77.598747 40.662918 22703 -8638253.000000 4526575.500000 1972 2 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001000 0.001000 0.001000 0.001000 0.008000
14857 -91.054581 44.747917 20570 -10136150.000000 4981315.500000 1972 5 1.307000 1.343000 1.367000 1.412000 1.484000 1.585000 1.660000 1.885000 2.142000 2.613000 3.407000
27831 -69.668747 47.582916 21538 -7755489.500000 5296906.000000 1972 5 1.133000 1.433000 8.161000 15.738000 18.805000 20.841000 22.514999 23.548000 24.816999 25.683001 25.882000
23156 -122.877914 38.928749 3233 -13678707.000000 4333528.500000 1972 7 24.200001 24.920000 26.139999 26.940001 27.770000 28.299999 28.530001 32.820000 35.369999 36.419998 36.900002
40274 116.017914 -32.517082 35179 12915055.000000 -3619785.000000 1972 7 0.878000 1.065000 1.476000 1.824000 2.563000 3.568000 8.880000 15.370000 27.850000 40.776001 85.800003
33572 -40.686249 -19.423750 27723 -4529172.500000 -2162242.000000 1973 1 2.209000 2.464000 2.806000 2.917000 3.002000 3.143000 3.630000 3.942000 4.214000 4.870000 7.164000
6225 -3.720417 6.628750 31087 -414154.906250 737909.062500 1973 2 1.189000 1.246000 1.274000 1.274000 1.274000 1.303000 1.359000 1.390000 1.416000 1.464000 1.756000
11561 -84.535416 34.057919 17534 -9410439.000000 3791310.250000 1973 3 5.890000 6.547000 6.674000 6.768000 6.929000 7.730000 8.158000 8.727000 9.203000 10.596000 11.950000
8773 -73.768753 41.338749 22393 -8211900.000000 4601808.500000 1973 3 1.700000 1.800000 1.870000 2.000000 2.100000 2.300000 2.500000 2.640000 3.130000 3.820000 4.500000
17211 -97.781250 39.592918 14548 -10884959.000000 4407463.500000 1973 5 0.658000 0.669000 0.672000 0.685000 0.737000 0.821000 1.107000 1.672000 3.221000 11.306000 47.856998
